2015-01-18T00:05:34: Launching bolt session for c:\users\ahankendi\documents\visual studio 2013\projects\pageguidemvc\.pageguidemvc.boltdata - SessionId: 363e9762-56f1-4560-9ec2-56965250a259
2015-01-18T00:05:36: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:05:37: GET http://127.0.0.1:11235/v1/licensed.json 200 0,001s 
2015-01-18T00:05:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,006s 
2015-01-18T00:05:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:06:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:06:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:06:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:06:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:06:54: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:07:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:07:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:07:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:07:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:08:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:08:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:08:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:08:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:09:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:09:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:09:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:09:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:10:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:10:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:10:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:10:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:11:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:11:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:11:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:11:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:12:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:12:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:12:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:12:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:12:50: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:12:52: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:12:53: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:13:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:13:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:13:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:13:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:14:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:14:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:14:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:14:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:15:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:15:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:15:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:15:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-01-18T00:16:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:16:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:16:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:16:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:17:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:17:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:17:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:17:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:18:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:18:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:18:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:18:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:19:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:19:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:19:33: NOT LICENSED: License for NC-DSK expired 08.01.2015.
2015-01-18T00:19:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:19:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:20:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:20:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:20:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:20:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:21:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:21:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:21:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:21:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:22:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:22:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:22:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:22:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:23:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:23:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:23:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:23:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:24:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:24:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:24:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:24:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:25:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:25:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:25:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:25:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:26:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:26:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:26:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:26:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:27:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:28:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:28:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:29:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:29:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:30:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:31:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-01-18T00:32:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:41: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:32:42: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:11: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-01-18T00:33:12: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
